Authors [separate with ; last name first],Year,Title,Additional info (i.e. journal),Topics,Language/dialect,Methods,Data,Project,URL,English abstract for non-English or N/A papers,University,Peer-reviewed,Type,OtherLinks,Review
"Veldhuis, Niek; Anderson, Adam",2021,Network Analysis of Ancient Sumerian Texts,BIDS GraphXD 2021,Network Analysis; SNA,Sumerian,SNA,,Sumerian Networks,https://github.com/sumeriannetwork/NetworkX-graphs/tree/main | https://github.com/sumeriannetwork/Sumerian-network-graph-data,https://github.com/sumeriannetwork/NetworkX-graphs/blob/main/NetworkX_tutorial_slides.pdf,UC Berkeley,,Github repo,,
"Assael, Yannis; Sommerschield, Thea; Shillingford, Brendan; Bordbar, Mahyar; Pavlopoulos, John; Chatzipanagiotou, Marita; Androutsopoulos, Ion; Prag, Jonathan; de Freitas; Nando",2022,Restoring and attributing ancient texts using deep neural networks,Nature 603(7900):280–283,DL; NN; OCR,,,,,https://www.nature.com/articles/s41586-022-04448-z,,,,Research Paper,,
"Bogacz, Bartosz; Mara, Hubert",2022,Digital Assyriology - Advances in Visual Cuneiform Analysis,"Journal on Computing and Cultural Heritage, vol 15, No. 2",Survey (OCR),Cuneiform,,,,https://doi.org/10.1145/3491239,,,yes,Research Paper,,
"Gordin, S. and Romach, A.",2022,Optical character recognition for complex scripts: A case-study in cuneiform,"Proceedings of the alliance of digital humanities organizations conference, IDHC, 2022. Tokyo, Japan, 25-29 July.",,,,,,https://dh-abstracts.library.cmu.edu/works/11708,,,yes,Research Paper,,
"Gordin, Shai; Clark, Shmuel; Romach, Avital",2022,MAPA: A Linked Open Data Gazetteer of the Southern Babylonian Landscape,Interdisciplinary Digital Engagement in Arts & Humanities 3(2),,,,,,https://doi.org/10.21428/f1f23564.8d442eea,,,yes,Research Paper,,
"Homburg, Timo; Zwick, Robert; Mara, Hubert; Bruhn, Kai-Christian",2022,Annotated 3D-Models of Cuneiform Tablets,Journal of Open Archaeology Data,"Annotated data, OCR",Cuneiform,,,,http://doi.org/10.5334/joad.92,,,yes,Research Paper,,
"Prasetiadi, Agi; Saputra, Julian",2022,Fragmented-cuneiform-based convolutional neural network for cuneiform character recognition,AIAES 13.1,OCR; CNN; Cuneiform; Fragmented characters; Kernel; Model architecture;,,Neural,,,http://doi.org/10.11591/ijai.v13.i1.pp554-562,,,yes,Research Paper,,
"Roorda, Dirk",2022,Text-Fabric,annotation/text-fabric: For tool registry,Programming Resource,,,,https://annotation.github.io/text-fabric/tf/index.html,https://doi.org/10.5281/zenodo.592193,,,,Github repo,,
"Sahala, Aleksi; Alstola, Tero; Valk, Jonathan; Lindén, Krister",2022,BabyLemmatizer: A Lemmatizer and POS-tagger for Akkadian,Proceedings of the Annual CLARIN Conference,Lemmatization; POS-tagging,Akkadian,Neural,https://helda.helsinki.fi/bitstreams/c8df2cf2-28e2-421a-96e4-d677ab9fd80e/download,,https://helda.helsinki.fi/bitstreams/c8df2cf2-28e2-421a-96e4-d677ab9fd80e/download,,,yes,Research Paper,,
"Bennett, Ellie; Sahala, Aleksi",2023,Using Word Embeddings for Identifying Emotions Relating to the Body in a Neo-Assyrian Corpus,RANLP-ALP 2023,Distributional semantics,Akkadian,PMI; Word Embeddings,,,https://doi.org/10.5281/zenodo.8272738,,,yes,Research Paper,,
"Chen, Danlu; Agarwal, Aditi; Berg-Kirkpatrick, Taylor; Myerston, Jacobo",2023,CuneiML: A Cuneiform Dataset for Machine Learning,"Journal of Open Humanities Data, 9(1), p. 30.",Cuneiform,,,,https://github.com/taineleau/CuneiML,https://doi.org/10.5334/johd.151,,,yes,Research Paper,,
"Clark, Shmuel & Shai Gordin",2023,The Mesopotamian Ancient Place-Names Almanac (MAPA): A Gazetteer of the Uruk Urbanscape in the Age of Empires,"Journal of Open Humanities Data 9(1), p. 20",GIS; NER,Akkadian,GIS,,,https://doi.org/10.5334/johd.146,,,yes,Research Paper,,
"Diara, Filippo",2023,Structured-Light Scanning and Metrological Analysis for Archaeology: Quality Assessment of Artec 3D Solutions for Cuneiform Tablets,"Heritage 2023, 6(9), 6016-6034",3D,,,,https://doi.org/10.3390/heritage6090317,https://www.mdpi.com/2571-9408/6/9/317,,,yes,Research Paper,,
"Gutherz, Gai; Gordin, Shai; Sáenz, Luis; Levy, Omer; Berant, Jonathan",2023,Translating Akkadian to English with neural machine translation,"PNAS Nexus, Volume 2, Issue 5, May 2023, pgad096",MT,,,,,https://doi.org/10.1093/pnasnexus/pgad096,,,yes,Research Paper,,
"Guzman-Soto, Hansel; Liu, Yudong",2023,Introducing an Open Source Library for Sumerian Text Analysis,RANLP-ALP 2023,Methods,,,,https://github.com/WWU-Sumerian-NLP,,,,yes,Research Paper,,
"Homburg, Timo; Brandes, Tim; Huber, Eva-Maria; Hedderich, Michael A.",2023,From an Analog to a Digital Workflow: An Introductory Approach to Digital Editions in Assyriology,Cuneiform Digital Library Bulletin 2023 (4),3D; CV; OCR,,,,,https://cdli.mpiwg-berlin.mpg.de/articles/cdlb/2023-4,,,yes,Research Paper,,
"Homburg, Timo; Brandes, Tim; Huber, Eva-Maria; Hedderich, Michael A.",2023,From an Analog to a Digital Workflow: An Introductory Approach to Digital Editions in Assyriology,,Workshop (see abstracts),,,,https://idcs.hypotheses.org/category/workshop-abstracts,https://cdli.mpiwg-berlin.mpg.de/articles/cdlb/2023-4,,,yes,Research Paper,,
"Jones, Christopher W.",2023,The Decline and Fall of the Assyrian Court Scholar: A Social Network-Based Examination,"AVAR, VOL. 2 NO. 2 (2023)",SNA,,SNA,,,https://doi.org/10.33182/aijls.v2i2.2839,,,yes,Research Paper,,
"Krueger, Frank A.",2023,Sumerian and Akkadian Cuneiform Language Translator (rev. 02d6e09) [Model],Hugging Face,MT,,,,,https://huggingface.co/praeclarum/cuneiform?utm_source=chatgpt.com,,,,Dataset,,
"Li, Bin; Gordin, Shai (eds.)",2023,Proceedings of ALT2023: First Workshop on Ancient Language Translation (ALT),"Macau, China: Asia-Pacific Association for Machine Translation",NLP; MT,,,,,https://aclanthology.org/2023.alt-1.pdf,,,yes,Conference proceedings,,
"Ong, Matthew",2023,How to Annotate Cuneiform Texts,Open Danes,Treebanking,Akkadian,UD; SpaCy; Inception,,https://opendanes.org/pages/How%20to%20Annotate%20Cuneiform%20Texts.html,https://doi.org/10.5281/zenodo.10825347,,,yes,Research Paper,https://inception-project.github.io/,
"Rattenborg, Rune; Smidt, Gustav Ryberg; Johansson, Carolin; Melin-Kronsell, Nils; Nett, Seraina",2023,The Archaeological Distribution of the Cuneiform Corpus: A Provisional Quantitative and Geospatial Survey,"Altorientalische Forschungen, vol. 50, no. 2, 2023, pp. 178-205",GIS,,GIS,,,https://doi.org/10.1515/aofo-2023-0014,,,yes,Research Paper,,
"Sahala, A. J. Aleksi; Lindén, Krister",2023,A Neural Pipeline for POS-tagging and Lemmatizing Cuneiform Languages.,"Proceedings of RANLP-ALP 2023, 203-212.",Lemmatization; POS-tagging,Akkadian,Neural,,https://github.com/asahala/BabyLemmatizer,https://aclanthology.org/2023.alp-1.23/,,,yes,Research Paper,,
"Stötzner, E.; Homburg, T.; Bullenkamp, J.P.; Mara, H.",2023,R-CNNbased Polygonal Wedge Detection Learned from Annotated 3D Renderings and Mapped Photographs of Open Data Cuneiform Tablets,"EUROGRAPHICSWorkshop on Graphics and Cultural Heritage (2023) A. Bucciero, B. Fanini, H. Graf, S. Pescarin, and S. Rizvic (Editors)",,,,,DOI: 10.2312/gch.20231157,https://diglib.eg.org:8443/server/api/core/bitstreams/3c6dfbc0-6364-487e-828e-13e99444e4d9/content,,,,Research Paper,,
"Stötzner, Ernst; Homburg, Timo; Mara, Hubert",2023,CNN based Cuneiform Sign Detection Learned from Annotated 3D Renderings and Mapped Photographs with Illumination Augmentation,IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),CV; OCR,,CV; CNN,,,https://doi.org/10.1109/ICCVW60793.2023.00183,,,yes,Research Paper,,
"Anderson, Adam G.; Her, Melanie",2024,ORACC Dataset Format to LOD FactGrid Cuneiform Wikibase (Oracc2LOD),,Dataset,"Sumerian, Akkadian, etc.",Lemmatization,https://zenodo.org/records/10794626,,https://doi.org/10.5281/zenodo.10794625,,,no,Dataset,,
"Bennett, Ellie; Bonnie, Rick; Töyräänvuori, Joanna",2024,Collaboration and Cowriting in Ancient Near Eastern Studies : A White Paper by the Centre of Excellence in Ancient Near Eastern Empires,,,,,,https://helda.helsinki.fi/items/588fe62e-8f59-440b-84ba-1588f9d995f0,https://doi.org/10.5281/zenodo.11446331,,,yes,Research Paper,,
"Cobanoglu, Yunus; Laasonen, Jussi; Simonjetz, Fabian; Khait, Ilya; Cohen, Sophie; Földi, Zsombor; Hätinen, Aino; Heinrich, Adrian; Mitto, Tonio; Rozzi, Geraldina; Sáenz, Luis; Jiménez, Enrique",2024,Transliterated Cuneiform Tablets of the Electronic Babylonian Library Platform,"Journal of Open Humanities Data 2024, Volume 10, Issue 19",Platform,"Akkadian, Sumerian",,https://doi.org/10.5281/zenodo.10018951,https://github.com/ElectronicBabylonianLiterature/transliterated-fragments,https://doi.org/10.5334/johd.148,,,yes,Research Paper,,
"Danlu Chen, Freda Shi, Aditi Agarwal, Jacobo Myerston, Taylor Berg-Kirkpatrick",2024,[2408.04628] LogogramNLP: Comparing Visual and Textual Representations of Ancient Logographic Writing Systems for NLP,,Cuneiform,,,,,https://arxiv.org/abs/2408.04628,,,yes,Research Paper,,
"Danlu Chen, Jiahe Tian, Yufei Weng, Taylor Berg-Kirkpatrick, Jacobo Myerston",2024,Classification of Paleographic Artifacts at Scale: Mitigating Confounds and Distribution Shift in Cuneiform Tablet Dating,,Cuneiform,,,,,https://aclanthology.org/2024.ml4al-1.4/,,,yes,Research Paper,,
"Gordin, Shai; Alper, Morris; Romach, Avital; Sáenz, Luis; Yochai, Naama; Lalazar, Roey",2024,CuReD: Deep Learning Optical Character Recognition for Cuneiform Text Editions and Legacy Materials,,OCR,,,,,https://aclanthology.org/2024.ml4al-1.14.pdf,,,,Research Paper,,
"Hamplová, Adéla; Romach, Avital; Pavlíček, Josef; Veselý, Arnošt; Čejka, Martin; Franc, David; Gordin, Shai",2024,Cuneiform Stroke Recognition and Vectorization in 2D Images,Digital Humanities Quarterly 18.1,OCR,,,,,https://digitalhumanities.org/dhq/vol/18/1/000733/000733.html,,,yes,Research Paper,,
"Jiang, Kenan; Anderson, Adam",2024,UD-ETCSUX: Toward a Better Understanding of Sumerian Syntax,"Proceedings of the 1st Workshop on Machine Learning for Ancient Languages (ML4AL), 186-191.",Syntax dependency,Sumerian,UD; SpaCy,,,https://aclanthology.org/2024.ml4al-1.19/,,,yes,Research Paper,,
"Leroy, Robin (editor)",2024,UTR #56: Unicode Cuneiform Sign Lists,,unicode,"Sumerian, Akkadian",,,,https://www.unicode.org/reports/tr56/,,,,Research Paper,,
"Marchetti, Nicolò; Bortolini, Eugenio; Sartorio, Jessica Cristina Menghi; Orrù, Valentina; Zaina, Federico",2024,Long-Term Urban and Population Trends in the Southern Mesopotamian Floodplains,Journal of Archaeological Research (2024),GIS,,GIS,https://floodplains.orientlab.net/#/map,https://github.com/bnza/archiraq,https://doi.org/10.1007/s10814-024-09197-3,,,yes,Research Paper,,
"Ong, Matthew; Gordin, Shai",2024,Linguistic annotation of cuneiform texts using treebanks and deep learning,"Digital Scholarship in the Humanities, Volume 39, Issue 1, April 2024, Pages 296–307",,,,https://zenodo.org/records/10622984,https://github.com/megamattc/Akkadian-language-models?tab=readme-ov-file#akkadian-language-models,https://doi.org/10.1093/llc/fqae002,,,yes,Research Paper,,
"Selz, Gebhard J.; Zhang, Bo",2024,Classification in Sumerian cuneiform and the implementation of iClassifier,"Journal of Chinese Writing Systems, Volume 8, Issue 1",,,,,https://www.archaeomind.net/about,https://doi.org/10.1177/25138502231215875,,,yes,Research Paper,,
"Stelzer, Daniel M.",2024,A recursive encoding for cuneiform signs,it-InformationTechnology 2024; 66(6): 232–255,cuneiform,,,,,https://doi.org/10.1515/itit-2024-0067,,,,Research Paper,,
"Yavasan, Emma; Gordin, Shai",2024,Glossed Hittite Texts with German Translation for Machine Learning,"Zenodo, Digital Ancient Near Eastern Studies Network",ML,"Hittite, German",Alignment,https://zenodo.org/records/14266302,,https://doi.org/10.5281/zenodo.14266301,,,,Dataset,,
"Anderson, Adam G.",2025,EvaCun: ORACC Akkadian Parallel Corpus,,,Akkadian,Alignment,https://zenodo.org/records/17220688,,https://doi.org/10.5281/zenodo.17220687,,,no,Dataset,,
"Arkhipov, Ilya; with contributions by Dominique Charpin, Christian Gaubert and Nele Ziegler",2025,The Old Babylonian Glossary of the ARCHIBAB Text Corpus: Results and Prospects,Revue d'assyriologie et d'archéologie orientale,,,,,https://www.archibab.fr/home,https://shs.cairn.info/revue-d-assyriologie-2024-1-page-91?lang=en,,,yes,Research Paper,,
"Gansell, Amy; Alstola, Tero; Jauhiainen, Heidi; Svärd, Saana",2025,Neo-Assyrian Imperial Religion Counts: a Quantitative Approach to the Affiliations of Kings and Queens with Their Gods and Goddesses,Journal of Ancient Near Eastern Religions,,,,,,https://doi.org/10.1163/15692124-12341349,,,yes,Research Paper,,
"Gordin, Shai; Sahala, Aleksi; Spencer, Shahar; Klein; Stav",2025,EvaCun 2025 Shared Task: Lemmatization and Token Prediction in Akkadian and Sumerian using LLMs,Proceedings of the Second Workshop on Ancient Language Processing,,Akkadian,Lemmatization,,,https://aclanthology.org/2025.alp-1.33/,,,yes,Conference proceedings,,
"Jauhiainen, Heidi; Alstola, Tero",2025,Social Networks of Prosobab,Journal of Open Humanities Data,,,,,https://prosobab.leidenuniv.nl/index.php,https://doi.org/10.5334/johd.384,,,yes,Dataset,,
"Mikulinsky, Rachel; Alper, Morris; Gordin, Shai; Jiménez, Enrique; Cohen, Yoram; Averbuch-Elor, Hadar",2025,ProtoSnap: Prototype Alignment for Cuneiform Signs,,OCR,,,,,https://arxiv.org/abs/2502.00129,,,yes,Research Paper,,
"Müller, Gerfrid; Prechel, Doris; Rieken, Elisabeth; Schwemer, Daniel",2025,Thesaurus Linguarum Hethaeorum digitalis (TLHdig) Beta Version 0.2,Zenodo,,,,,https://www.hethport.uni-wuerzburg.de/TLHdig/,https://doi.org/10.5281/zenodo.15459134,,,,Research Paper,,
"Pottorf, Andrew",2025,Data of Enslaved People in Ur III Texts,Zenodo FactGrid Community,Dataset,Sumerian,Counts,https://zenodo.org/records/17822860,,https://doi.org/10.5281/zenodo.17822860,,,no,Dataset,,
"Pottorf, Andrew",2025,Housing Data in Ur III Texts,Zenodo FactGrid Community,Dataset,Sumerian,Counts,https://zenodo.org/records/17563926,,https://doi.org/10.5281/zenodo.17563926,,,no,Dataset,,
"Pottorf, Andrew",2025,Subsistence- and Tenant-Land Data in Ur III Umma Texts,,Dataset,Sumerian,Counts,https://zenodo.org/records/17517681,,https://doi.org/10.5281/zenodo.17517681,,,no,Dataset,,
"Rattenborg, Rune; Pagé-Perron, Émilie",2025,The Cuneiform Digital Library Initiative: A Primer,(Mar Shiprim and Zenodo),,,,https://zenodo.org/records/15309738,,https://doi.org/10.5281/zenodo.15309737,,,yes,Descriptive notes,,
"Riemenschneider, Frederick",2025,Beyond Base Predictors: Using LLMs to Resolve Ambiguities in Akkadian Lemmatization,Proceedings of the Second Workshop on Ancient Language Processing,,,,,,https://aclanthology.org/2025.alp-1.30/,,,yes,Research Paper,,
"Williams, Edward C.; Su, Grace; Schloen, Sandra R.; Prosser, Miller; Paulus, Susanne; Krishnan, Sanjay",2025,DeepScribe: Localization and Classification of Elamite Cuneiform Signs via Deep Learning.,Journal on Computing and Cultural Heritage,,Elamite,Classification,,,https://doi.org/10.1145/3716850,,,yes,Research Paper,,
