word,definition,derived_from
umandu I,(part of human insides) jB,
umarzanapāta I,"""city-ruler"" NB;",OPers. 
umasupitrû I,"""son of the (royal) house"" NB, in bīt u. desig. of crown prince's estate;",OPers. 
umaštu I,"~ ""hook"" jB;",umāšu I
umbūbu I,Ug. desig. of a harp string (for Bab. šer'ān embūbi),cf. ebbūbu I
umdu I,* pl. undī (a skin complaint) NA;,emēdu I ?
umma I,"""saying:"", ptcl. introducing dir. speech OAkk(Ur III), Bab., O/MA; umma PN-/šarrum-/šī-ma etc. ""thus says PN/the king/she"" etc.; OB freq. ummāmi",cf. enma I
ummannuhu I,(a kind of drinking vessel) Mari,
ummaru I,"~ ""soup, broth"" O/jB [TU7; jB also KÁM ?]",
ummatu I,"""main body, bulk"" Bab.  1. of army; ṣāb ummatim ""the main body of troops"", ummat Hana ""main Hanaean force""; transf. of animals2. OB om. ""main body"" of oil [Bogh. ÚMUN]3. jB ext. u. tīrāni ""complete intestine""; u. hašî ""complete lung""?4. u. erî ""lower grindstone""5. jB lex. u. eqli (a thorny plant)6. misc.: OB(Susa) (a basin)?; MB(Nippur) (a wool payment)?; jB ~ ""descendants"" in ummat DN",ummu I
ummedu I,(a fever)? O/jB,
ummisallu I,"""Emesal-composition""? jB; [EME.SAL ? (cf. mēsallu)];",Sum. 
ummiānu I,"pl. m. & f. [(LÚ.)UM.MI/ME.A]  1. ""craftsman, specialist"" OB usu. mār u.; OAkk, Mari (fieldsurveyor); Bogh. (work overseer in temples), pl. ummiā/ēnūtum; j/NB, NA ""craftsman, expert"" in gener., in army2. NA, NB ""scholar, scribal expert"", (royal) ""(chief) scribe""3. NB ""expert"", of trained plough-animal4. OA, O/MB, occas. jB ""money-lender; creditor""",ummiānītu I ummânūtu I
ummiānītu I,"pl. ummiānêtum ""sum(s) owed to creditors""? OB;",ummiānu I
ummu I,"f. ""mother"" [AMA]  1. of humans, u. ālittu ""natural mother""; ummi ummi ""grandmother""; transf. OA ummī attī ""you are (as) my mother"", Bab. of goddess u. bānītī ""the mother who created me"" etc.2. of animals; u. mê (a dragonfly)3. transf., of source or origin, OA u. ṭuppim ""original document""?; OB ṭuppi ummātim ""document of original (fields)""?; NB u. A.ŠÀ.MEŠ ""original deed of property""; NA, NB (accounting term, phps.) ""total credits""?; of river u. nārāti4. misc.: (part of plough); lex. ""quiver""; ""stock"" of tree, vine; NA in topog. descr. (mng. unkn.)",ummatu I ummūtu I
ummu II,"pl. f. ""heat; fever"" Bab.  1. med. ""fever"" [KÚM]2. usu. pl. ""(summer) heat"" [É.MEŠ; jB also AMA.MEŠ !], freq. + umšu(m)",emēmu I
ummu III,(a reed or rush rope) O/jB lex.;,Sum. 
ummu IV,(a bird) jB lex.,
ummuliš I,"""sparklingly"" jB, of Mars;",ummulu I
ummulu I,"jB  1. ""twinkling"" of star, planet2. lex. (desig. of a bed)3. of manliness ~ ""stifled, suppressed""",wamālu I
ummulu II,"~ ""stifling, oppression"" jB lex., of illness;",wamālu I D infin.
ummuqu I,"O/jB ~ ""deep-thinking"" of person; ""well thought-through"" of action;",emēqu I
ummuru I,(a kind of bronze) jB lex.,
ummuštu I,(a priestess) jB lex.,
ummânūtu I,"""craftsmanship, scholarship"" O/jB, NA; ummênūtam quttû ""perfect in skill"", šipir u. ""a work of c.""; jB, NA ""(scribal) craft, learning"";",ummiānu I
ummānu I,"f.; pl. rarely m. ""army, troops"" [ÉRIN(.HI.A(.MEŠ)/HI.MEŠ); Bogh., Ug. also UGNIM] sg. and pl., for war, also state labour; occas. ""crowd; common people""",cf. Ummān-manda I
ummūtu I,"""motherhood"" OB, Emar;",ummu I
umnīnu I,"II; pl. f. ""chest, case"" OB?, M/NA, Nuzi, for clothing, weapons, precious vessels etc.",cf. tupninnu I
umumma I,"in u. epēšu ~ ""to collect"" Nuzi;",Hurr. 
umunnedukku I,"""letter, missive"" jB lex.;",cf. unnedukku I
umunnû I,"""vein(s)"" jB;",Sum. 
umurru I,(an illness) jB med.,
umā I,"""now"" NA;",u I + mā
umāmu I,"""animal; (coll.) beasts"" Bab., M/NA; esp. wild animals, M/jB u. ṣēri ""beasts of the wild"", lū ša tābali lū ša nāri ""of dry land or river"", ša tâmti ""of the sea""; jB umāmānu ša Tiāmat ""Tiāmat's monsters""; ""animal figure"" in temple, on carpet etc.; MA, jB occas. ""domestic animals"";",umamtu I
umātu I,(a wooden object) jB lex.,
umāšu I,"~ ""grappling-hook (for wrestlers); strength"" Bab., NA [GÉŠPU]; wakil nāši u. ""overseer of the wrestlers""; ša (h)u. [LÚ.GÉŠPU] ""wrestler"", in cult, figurine, in mag.; transf. j/NB ""strength"" of person;",umaštu I
umšarhu I,"(a class of person) Mari, M/NA; MA man, woman u. ša (f)PN; NA u. ša šarri ""freedman? of king""; also of field?, animal mng. uncl.",
umšu I,"""heat, summer"" O/jB; ina u. u. dannu ibašši ""there will be great heat in summer""; u. kuṣṣu ""heat (and) cold""; jB also pl. umšē rabûti ""severe heatwaves"";",amāšu I
umṣatu I,"~ ""mole, birthmark""? O/jB [DUB(.BU); SAMAG; SÀMAG] u. malû ""to be covered in moles""; transf. ""bumps, knobs"" on basket, on vessel",
umṣatu II,(a tough grass) jB lex.,
umṣu I,"""hunger"" j/NB;",emēṣu II
umṣu II,(or umsum) (an object) OA,
umṣītu I,(part of a door)? OB,
undu I,"""when; then"" Am., Nuzi, Bogh., Ug.  1. as conj. ""when"", Bogh. also ""for as long as""; Nuzi occas. before indic.2. Ug. ""then, at that time""",
undu II,(a workman)? Ug.,
uninātu I,"mng. uncl. OB, NA",
unnanniši I,(a composite beast)? jB; also dU.,
unnatu I,"~ ""land"" jB",
unnedukku I,"f. ""letter, missive"" OB; ūm u.-ki tammarū ""when you see your letter""; unnedukkātūka lillikānim ""mind you keep writing!"";  cf. um",cf. umunnedukku I
unnubu I,"""fructified; very fruitful"" O/jB, esp. as (f)PN Unnubu, Unnub(a)tum;",enēbu I
unnunu I,"mng. unkn. O/jB, desig. of person, also as PN; f. (an illness);",enēnu II ?
unnutu I,"~ ""faint"" jB of star;",enētu I
unnušu I,"""weakened"" jB, of teeth;",enēšu I D
unnušūtu I,"""weakened state"" jB lex.;",unnušu I
unnīnu I,"""supplication, petition"" OAkk, Bab., NA [in PNs ÉR] u. leqû(m) of deity, king etc. ""to receive"" s.o.'s ""petition""; jB ṣalam unnīni ""image"" of king ""in prayer""; O/jB ""(granting of) petition""",cf. utnēnu I
unqu I,"f. ""ring; (stamp-)seal"" Bab., M/NA [ŠU.GUR]  1. as ornament, of gold, silver etc.; kīma u. ""(shaped) like a ring""2. NA/NB ""signet-ring, stamp-seal""3. NA/NB ""sealed document"", NA u. šarri ""royal edict""; NB bīt unqātu ""chancery""; OA cf. annuqum",
unqu II,"""neck"" NB, uzuu. of sheep as cut of meat;",Aram. 
unuzānû I,(a wooden implement) jB lex.,
unuššu I,(state service) Ug.;,cf. unuššuhuli I
unuššuhuli I,(land-holder with state-service obligations) Alal.;,cf. unuššu I
unû I,(a kind of meat) jB lex.,
unīqu I,"f. ""female kid"" OAkk, Bab., M/NA [MUNUS.EŠGAR; MUNUS.ÉŠ.GÀR]; rit. u. lā petītu ""virgin kid"";  cf. m",enēqu Icf. munīqu I
unītu I,(a stone) OB lex.,
unšinakku I,"(an edible item)? jB, eaten in dream",
unšu I,"""weakness"" jB of condition of populace;",enēšu I
unūtu I,"pl. OAkk unuātum, OB uniātum, unêtum, unâtu(m), enâtum ""tools, equipment, household utensils"" [NÍG.GÚ.NA; Á.KÁR] of house, palace; of oxen, donkeys, plough, ship, journey, battle; of potter, carpenter etc.; of copper, gold etc.; u. libbi ""internal organs"", i.e. liver etc.",
upatinnu I,(a vassal)? OA;,Hitt.? 
upellû I,"Bab.  1. ""charcoal""2. ""charcoal-burner"" [Ú.BIL]",Sum. 
upinzer I,(or ubi(n)ze/ar) ~ (a caterpillar) jB lex.,
upiātu I,(a source of royal income) NB;,OPers. 
uplu I,"""head-louse"" O/jB;",uppulu II
uplētu I,"~ ""late crop"" OB, še'(um) u. ""late barley"";",apālu II
upnu I,"""(cupped) hand"" Bab., M/NA; u. petû ""to open palm(s)"" to pray (cf. pūtu II); for receipt of e.g. grain, also transf. of suffering, blood; ""handful"" as measure, Bogh., NB, also pl. f.",
uppadētu I,(an overseer) NB;,Iran. 
uppattu I,"""mole-cricket""? jB, NA [UB.PAD]; in med.;",Sum. 
uppašannu I,"(leather component of chariot) Alal., Nuzi;",cf. abšānu I
uppu I,"""tube, socket etc."" Bab., NA [(GIŠ.)MUD] ""socket"" for door-bolt, pickhandle; ""tube, pipette"" of metal, for liquids; u. ahi(m) ""armpit""; (part of intestines)?",
uppu II,"""(a type of) drum"" OAkk?, Bab. [ÙB]; of leather, j/NB of silver, bronze;",Sum. 
uppu III,"(a surface)? jB lex., and in u. šadî mng. uncl.",
uppultu I,"O/jB, NA  1. ""late crop"" of cereals [SIG]2. ""late-born"" lex., of sheep; in PNs, of child",apālu II
uppulu I,"""late"" Bab., NA [SIG] of cereal crop še'u u., also u. alone as subst.; of animal ""born late in season""; of child; of rain, flood, agricultural labour;",apālu II
uppulu II,"D ""to delouse"" O/jB lex.",uplu I denom.
uppuqu I,"~ ""solid"" O/jB; Am. of gold artefacts;",epēqu I or upqu I?
uppusu I,(or ubbusu) (an outer garment) M/jB; lex. u. qāti;   I,uppusu II
uppusu II,"(or ubbusu) D ~ ""to fringe (with wool)""? MB",uppusu I
upputtu I,"""blind (snake)"" j/NB [MUŠ.IGI.NU.TUKU];",uppuṭu I
uppuštu I,"1. OB ~ ""calculated amount"" of silver ?2. jB lex. (woman with special hair-style)?",epēšu II D
uppušu I,"~ ""well looked-after""? jB lex. of date palm;",epēšu II D
uppuṭu I,"""blind"" jB;",upputtu I cf. huppudu II
uppītu I,(an object) jB lex.,
upqu I,"""block; stump (of tree)"" O/jB;",epēqu I ?cf. uppuqu I
upqu II,"""pack(-ass)"" OA;",epēqu I
upru I,"(a cloth headdress) jB [TÚG.BALLA] for men, women; lex. (term for dregs, lees)?;",apāru Iupurtu I cf. uprû I
upru II,"""dust"" Am.;",W.Sem. 
uprû I,(a headdress) MB;,apāru Icf. upru I
uptu I,(or artu) mng. unkn. NA rit.,
upumtu I,"Susa pl. upunāti ""(a type of) flour"" Bab. [ZÌ.MAD.GÁ ?] jB of emmer, for offerings",
upura'ena I,(a kind of emmer)? Nuzi;,Hurr. 
upurtu I,"(a form of wig or headgear) O/jB, for woman; for statue;",upru I
upû I,"""cloud"" O/jB [DUNGU]; Adad šākin u. ""who makes clouds""; kīma Šamaš ina u. ""like the sun from a cloud""; transf. of eyes upê malâ ""clouded over"";",apû III
upû II,"""of Opis"" OB, of paint;",upītu I
upāṭu I,"""(nasal) mucus"" Bab., usu. pl.; of human, sheep; transf. of exudation from earth (a kind of bitumen)?, from plant u. ašāgi",
upītu I,"""ship of Opis""?;",upû II
upīšū I,"pl. tant.? ""(magical) procedures, rites"" jB, Bogh.; of Asalluhi, of demon, of human;",epēšu II
upšaššû I,"""(magical) procedure(s); sorceries"" Bab., usu. pl. [NÍG.AK.A] by deity (Asalluhi), king; usu. of malevolent spells, rites;",epēšu II
uqniātu I,"pl. tant. ""blue(-green) wool"" Bab., NA [SÍK.ZA.GÌN(.NA)]; j/NB šammi u. ""woad"" [Ú.ZA.GÌN.NA];",uqnû I
uqnû I,"""lapis lazuli; turquoise?"" [NA4.ZA.GÌN] as material for seal, jewellery etc.; pure, valuable kīma u. ""as lapis lazuli""; as penalty to temple; šadî u. ""mountain of l."", NB, from Sogdiana; ŠdU., the river Karun; u. kūri ""kiln l."" i.e. blue glass/glaze, also of other colours; agurri u. ""blue-glazed brick"";",uqniātu Iuqnītu Iqunû I qununnītu I cf. qunātā I
uqnītu I,"""blue""? OB as fPN;",uqnû I
uqqu I,"(a paralysis) jB lex., med.;",eqēqu I
uqqubu I,(or uqqupum) (a handicapped person) OB lex.,
uqququ I,"""tongue-tied, dumb"" jB lex.;",eqēqu I
uqquru I,(a handicapped person) OB lex.,
uqqû I,"""painted"" jB of pot, door;",eqû I D
uqqû II,"D ""to incise"" OAkk, O/jB; also (thereby) ""to inscribe, prescribe""",
uqu I,"""people, populace; troops"" NB [ÉRIN]",
uqūpu I,"""ape"" j/NB; šušān u. ""ape trainer""; also as PN;",cf. udūmu I
uqūru I,"""palm-heart"" O/jB [GIŠ.ŠÀ.GIŠIMMAR] core leaves of date palm; (a kind of reed); ""palm-milk""?",
ur'udu I,"""windpipe, throat"" Bab. [UZU.GÚ.MUR] of human, animal, bird",
urantu I,"""fennel plant"" Ug. lex.;",uriyānu I
urballu I,"""quail""? jB [ŠEN.ŠEN.BAL.MUŠEN]",
urbatiš I,"""like rushes"" jB;",urbatu Icf. urubā'iš I
urbatu I,"""rush"" O/jB [Ú.NÚMUN] for boats, as fuel; as drug, also zēr/išid u. ""seed/root of rush"";",urbatiš Iurubā'iš Iurbatānu I cf. urbānu I
urbatu II,"(a kind of worm) jB [MAR.GAL]; u. sāmtu ""red worm""; as illness, urbatu maruṣ ""suffers from worm(s)""",
urbatānu I,"""overgrown with rushes"" OB, of field; also as PN;",urbatu I
urbu I,"""inflow"" OA, NB; of goods etc.; NB for cf. erbu I;",erēbu I
urbu II,(a work gang)? jB/NA,
urbānu I,"""papyrus"" j/NB, NA; for writing; to make boats, stylus",cf. urbatu I
urbītu I,(a stone) OB lex.,
urdānūtu I,"""servitude"" NA [ÌR- ];",wardu I
urgulû I,"j/NB, NA  1. (a lion) [UR.GU.LA]; šārat u. ""lion-skin""; also as figurine and illness2. ""(the constellation) Leo"" [MUL.UR.GU.LA; also MUL.UR.A ?]",Sum. 
urhiniwe I,"mng. unkn. Nuzi, in bīt u.;",Hurr. 
urhu I,"f. & m. ""way, path"" [occas. ITU !] difficult, distant, unopened etc.; ālik urhi(m) ""traveller""; u. šadî ""mountain path"", astr. u. šamê ""heavenly path""; transf. ""way of life"";",Arahtu I ?
urhu II,(a bronze object) Nuzi,
uribhu I,"~ ""(kind of) plum""? jB lex.",
uribittu I,(a plant)? MB,
uridimmu I,"""Wild Dog"" jB, a myth. beast [UR.IDIM] with Tiāmat; as figurine; astr. (a constellation incl.) Lupus ?;",Sum. 
urigallu I,"""standard, symbol; hut with standard"" M/NB, NA [gi/dÙRI.GAL] u. zuqqupu ""to erect a standard"", du. ālik pānīya ""the standards which precede me""; ""ritual hut""; ""(representation of) standard"", in gypsum, on wall;",Sum. 
urihaše I,(a precious stone) Qatna;,Hurr.? 
urihu I,(a thorny plant) jB lex.,
urihul I,"""reimbursement for work not performed"" Nuzi;",Hurr. 
urinnu I,"""eagle"" M/jB; also desig. of demon; astr. [mul/dU5.RÍ.IN] (a constellation); lex. (a kind of rope)?",
urinnu II,"""standard"" j/NB; NB bīt u. (a treasury); as desig. of DN, of Erra urinnāku ""I am a standard"" on march;",Sum. 
uriqtu I,"""jaundice""? jB;",warāqu I
uritannu I,"~ ""selvage, edge of textile"" Nuzi;",Hurr. 
uriyanni I,"(a functionary) Bogh., Ug.;",Hitt.? 
uriyānu I,"""fennel""? OAkk, O/jB, NA [Ú.TÁL.TÁL] as vegetable, in field; as drug; zēr/išid u. ""seed/root of fennel"";",urantu I
urkanuhli I,(a retainer)? Nuzi;,Hurr. 
urkidānu I,(or urkitānum) (a kind of timber)? OAkk,
urkiš I,"""later"" M/NA ""in future, at a later date""; jB cf. arkiš",
urku I,"""length"" OAkk, Ass.;",arāku I
urkātu I,(a kind of meat) NB;,warkatu I ?
urmahhu I,"""lion (statue etc.)"" jB(Ass.) [UR.MAH];",Sum. 
urmahlilu I,"""lion-man"" j/NB [UR.MAH.LÚ.U18/19.LU] representations in mag. etc.;",Sum. 
urmazillu I,"""tree-stump""? OB",
urnakku I,(a sanctuary)? jB lex.,
urnatu I,(a garment) NA,
urnatu II,"~ ""strong, manly"" jB lex.",
urnibu I,(a plant) jB lex.,
urnu I,(a snake)? jB,
urnu II,"""(small) cedar"" OAkk, Bab.;",cf. erēnu I
urnuqqu I,"(a plant) jB lex., med.",
urnû I,"""mint""? O/jB; zēr/ār u. ""seed/sprig of mint""; u. ša šadê ""mountain m.""  cf. q",cf. qurnû I
urnīgu I,"""crane""? j/NB; also (a plant)?",
urparinnu I,"""butcher, slaughterer"" Nuzi;",Hurr. 
urpatu I,"pl. urpā/ētu ""cloud"" Bogh., jB [DUNGU] u. ṣalimtu ""black cloud""; transf., of displeasure, u. nekelmûk ""your frown is a cloud"";",erēpu I
urpatu II,"""bedroom"" O/jB",
urpu I,"m. & f. ""cloud(s)"" Bab., NA [DUNGU]; NA u. dannat ""cloud-cover is heavy""; du. urpēn ~ ""at sunset""?; transf. OB urpīya akaṣṣar ""I gather my clouds"" (obscure metaphor);",erēpu I
urpumma I,"in u. epēšu ""to slaughter"" Nuzi;",Hurr. 
urpāniš I,"""as though with clouds"" jB;",urpu I
urqatta I,mng. uncl. NB;,warāqu I ?
urqu I,"? ""yellow-green colour"" O/jB [SIG7]; also ""yellow-green spot, patch"" med., ext.;",warāqu I
urqītu I,"""vegetation, greenery"" M/NB, NA(lit.) [Ú.ŠIM]; u. ṣēri ""v. of desert""; u. bašû(m)/šubšu(m), (w)aṣû(m)/šūṣû(m) ""to (make) v. happen, (make) v. come up"";",warāqu I
urra I,"1. OA, O/jB ""tomorrow""; urra(m) šēra(m) ""in the future, one day""2. jB ""in the daytime""",urru I
urradudû I,(a merchant)? jB lex.;,Sum. 
urru I,"""daytime"" OAkk, Bab., NA [Am. U4.KAM ?]  1. ""day"" opp. to night, u. u mūša, mūša u u.; 7 urrī u 7 mūšāti2. ""early morning, day(break)"" (cf. šāt urri)3. ""tomorrow, the morn"", ina urri warhim ""on 2nd day of month",urra I
urruhiš I,"""very quickly, hastily"" M/jB;",arāhu I
urrupu I,"""clouded"" jB of sky;",erēpu I
urrušu I,"""very dirty, defiled"" O/jB;",warāšu I
urruṣu I,mng. unkn. M/jB lex.,
urrû I,"""trimmed, pruned"" jB lex., of palm tree;",arû VI
urrû II,mng. uncl. jB lex.,
urrāku I,"""sculptor"" jB lex.",
urrākūtu I,"""sculptor's craft"" jB(Ass.) in šipir u. ""sculptors' work"";",urrāku I
urrāšena I,"pl. ~ ""desiderata"" Am.;",Hurr. 
urrīqu I,1. OB (a gold alloy)?2. M/jB (a yellow stone) [(NA4.)SIG7.SIG7],warāqu I
ursunu I,"~ ""warrior"" jB lex.",cf. uršānu I
ursû I,mng. unkn. jB lex.,
ursūtu I,"(a storeroom, deposit)? NA",
urubā'iš I,"""like rushes"" jB var. of urbatiš;",urbatu I
urubānu I,"""guarantor"" ;",Ug. 
urubātu I,"pl. tant. ""keystone(s)"" Nuzi, jB [SIG4.TAB.BA.KU4.RA]; u. šakānu ""to install the k."";",erēbu I
urubātu II,"pl. tant. ~ ""lamentation"" Mari, jB",
urudû I,"""(a kind of) copper"" jB, pitiq u. ""copper casting"";",Sum. 
uruhhu I,"""hair (of head)"" O/jB [DÌLIB(=SAG≈ŠID)] u. qaqqadišu, nakkaptišu ""hair of his head, forehead""",
urukmannu I,"(part of a shield) Am., Nuzi; of metal;",Hurr.? 
urullu I,"usu. f. pl. ""foreskin"" M/jB; mūṣu ša libbi urullātišu ""discharge from his f.""",cf. u. II
urullu II,(a kind of reed) O/jB; = u. I ?,
urultannu I,(a functionary) Nuzi;,Hurr. 
urummu I,mng. unkn. jB lex.,
urunzannu I,(a kind of table) Nuzi;,Hurr. 
uruppu I,"""armpit"" of horse OB(Susa)",cf. aruppu I
uruthū I,"pl. tant. (a pair of implements) M/NA, Alal., Ug. of bronze, iron",
uruti I,(a plant) jB lex.,
uruttu I,(a stone) O/jB,
uruttu II,(name for middle Euphrates) jB lex.,
urutu I,"~ ""observation""? NB ref. to military surveillance",
uruštu I,(an object) Mari,
uruššu I,1. MB (a wooden object)2. jB (a bush)?,
urzababītu I,"(a lyre)? Mari, O/jB lex.;",(king) Ur-Zababa 
urzīnu I,"(a tree) O/jB, NA",
urû I,"pl. f.  1. MB ""stallion""2. ""stable, stall"" Bab., M/NA, for sheep, oxen, esp. horses; NB also bīt urê; rab urê MB, NB as family name3. NA, NB ""team"" of horses, mules; rab urâti ""overseer of teams""",
urû II,"""cut branch, palm frond"" Bab. [GIŠ.PA.KUD] NB Ša-urêšu ""Frondsupplier"" as family name;",arû VI
urû IV,"(a bowl) Nuzi, jB [DUG.GAN.SAR]; of bronze, wood; jB med., for drug",
urû V,"pl. tant. ""aromatics"" jB lex., coll. term",
urû VI,"""fish spawn"" jB lex.;",arû IV
urû VII,"f. urītu(m) ""of Ur"" O/jB lex., of sheep, bed, ship; also as (f)PN;",PlN 
urāku I,"(a long implement, phps.) ""rod"" OAkk, Bab., OA of metal [SUD.A ?], stone; used in glass-making; NB (an engraver's chisel)?; lex. (a clay rod);",arāku I
urāsu I,"(a foreman) M/NA, Nuzi, NB; of state labourers, Ass. esp. in building work;",urāsūtu Iurāsuhlu I
urāsuhlu I,"~ ""foreman"" Nuzi;",urāsu I + Hurr. -uhlu
urāsūtu I,"""rôle of foreman"" NA, of weavers;",urāsu I
urāšu I,"(a plot of land) Bab., belonging to s.o., to PN; NB ~ ""(state) dues on u. land""",
urāšu II,"(s.th. dirty) jB; ""a dirty cloth""; med. ""septic wound, lesion"";",warāšu I
urīdu I,"(a drinking vessel) O/jB; Mari, in gold",
urīqiš I,*,
urītu I,(a ring)? jB lex.,
urīzu I,(a stone) jB; = hI ?,
urīṣu I,"""male goat"" [MÁŠ; MÁŠ.GAL; OB MÁŠ.ÙZ ?] u. šadî ""mountain goat""",
uršašillu I,(a small viper)? jB lex.,
uršu I,"""bedroom"" O/jB; OB loc.-adv. ma ""in the bedroom""; Ug. bīt u., of prince; jB uruš kallūti ""bridal chamber""",cf. eršu IV
uršu II,"""desire"" O/jB;",erēšu II
uršu III,"""blemish, dark spot"" jB med.;",warāšu I
uršānatu I,"""heroine"" O/jB(lit.); goddess u. ilī ""heroine of the gods"";",uršānu I
uršānu I,"""warrior, hero"" OAkk, O/jB(lit.); also as PN;",uršānūtu I uršānatu I cf. ursunu I
uršānu II,"""wild dove"" O/jB [IR7.SAG.MUŠEN; UR.SAG.MUŠEN];",
uršānūtu I,"""heroism"" jB, of deity;",uršānu I
urūmu I,(a tree) MB(Ass.) in mountains,
urūšu I,"? ""dirtiness"" jB;",warāšu I
urṣu I,"f. ""mortar (for spices)"" O/jB [NA4.NA.ZÀ.HI.LI(.A)]; elīt u. ""pestle""",
urṣu II,"in kalab u. 'dog of the earth ?', ""badger"" jB [UR.KI]",cf. erṣetu I
urṣuppu I,(a vessel with knobs)? jB lex.,
urṣītu I,(a plant) jB lex.,
urṭû I,"(a plant; a colour) M/jB, NA  1. (a resinous bush) lex., med.2. (a dye, dyed wool)3. (part of date palm, phps.) ""fibre""4. Bogh. (a dove)",PlN 
usahu I,(a bird) OB lex.; = usigu ?,
usandû I,"""bird-catcher"" [LÚ.MUŠEN.DÙ];",sandâniš I
usangu I,"? ""early crop"" jB lex.;",Sum. 
usertu I,"""exaction"" of payment, debt NB;",esēru III
ushamu I,(a pole for boats) jB lex.,
usigu I,(a bird) jB lex.,cf. usahu I
uskāru I,"""crescent (moon)"" Bab. [U4.SAKAR]  1. ""crescent moon"", on first quarter2. (as epith. of Sîn)3. ""crescent(-shaped) symbol, object"" of metal, stone etc.; NB astr. (an instrument)4. math. (segment of a circle)",Sum. 
usmu I,"""appropriateness, s.o./s.th. worthy"" O/jB  1. of kings, e.g. wusum šarrūtim ""one worthy of kingship""2. of gods, esp. usum šamê ""one suited to heaven""3. of door ""worthy ornament"" for shrine",wasāmu I
usmû I,"f. usmītu ""two-faced being"" jB; dU. as deity; as monstrous birth",
uspahhu I,(a garment) Nuzi;,Hurr. 
ussangû I,"""lead goat"" jB lex.;",Sum. 
ussudu I,mng. unkn. Dt jB,
ussuhtu I,(desig. of a plant) jB lex.,
ussuhu I,"""assigned""? OB;",esēhu I D
ussuktu I,"""assignment, commission""? NA;",esēhu I
ussuku I,"mng. uncl. O/jB, NA; epith. of warts; of plough;",esēhu I or esēqu?
ussulu I,"""crippled"" O/jB lex.;",eṣēlu I
ussû I,,
ustarbari I,(a Persian official) NB(Nippur);,OPers. 
usukannu I,(a plant) jB lex. equated with musukkannu,
usukku I,"Bab.  1. ""temple, upper cheek"" [TE; ÚNU; jB occas. TE+MÚRU]; tears ina u.; also du. usukkāya ""my cheeks""2. (lining wall of irrigation channel)",
usuktu I,"~ ""side-piece"" of furniture ? MA",
usukānu I,(a bird) OB lex.,
usurtu I,"""encirclement (of enemy)"" O/jB;",esēru II
usābu I,"1. OB (a bird); also as PN2. jB (a tortoise, turtle)",PlN Adab ? 
usāru I,subst. mng. unkn. NA,
usātu I,"""help, assistance""; in gener. and financial, commercial aid; freq. in PNs;",usātānu I
usātānu I,"""generous"" jB;",usātu I
utabru I,"(an animal)? MA, representations in art",
utatiti I,(a kind of wood)? Nuzi;,Hurr. 
utemenakku I,(a wooden object) jB lex.;,Sum. 
uthuru I,(a breed of sheep)? OA,
uti I,"pl. utena ""(additional) payment"" Nuzi, on occasion of exchange, in barley, sheep etc.;",Hurr. 
utlellû I,"""to rise up, raise up"" O/jB(lit.) [GALAM] math. ""be higher, exceed"" in number; of deity, king ""be exalted""; trans. ""exalt"" s.o.;  m",elû III Rtmutlellû I
utlu I,"""lap"" OAkk, O/jB (sexually) of man, woman; of god(dess), esp. in PNs; transf. of tamarisk; of night, i.e. sleep; OB(poet.) u. šamê ""lap (= interior) of heaven""",
utnēnu I,"""supplication, prayer"" OAkk, j/NB(lit.) to deity, king;   I infin.",utnēnu II infin.cf. unnīnu I
utnēnu II,"""to pray"" Bab.(lit.) ""G"" (pres. utnên, pret. utnēn, utnīn) to deity, person Gtn ? (utenennen, pret. utennēn) OB",utnēnu I mutnennû I tēnīnu Itēnintu I cf. enēnu IV
utru I,"""excess, profit"" NB, commercially etc.; astr. u. u muṭṭê ""excess and shortfall"";",watāru I
uttuku I,"""bent"" jB, of palm tree;",atāku I D
uttuku II,"(calculating device, phps.) ""abacus"" jB;",Sum. 
uttulu I,mng. unkn. jB lex.,
utturu I,"""exaggerated, boastful"" jB of speech;",watāru I
uttuzilû I,"""good land"" OB, left untilled;",Sum. 
uttû I,mng. unkn. jB lex. (rdg. uncert.),
uttû II,"mng. unkn. MB in nād u. ""waterskin of u.""",
uttāru I,"~ ""superfluous, extra""? NA of stones, (offering-)tables;",watāru I
uttūtu I,"(or uttûtu) ""terror""? jB lex.",
utuhhu I,(a kind of bread) Early Mari,
utukku I,"(an evil demon) [UDUG]; u. ṣēri, šadî, tâmti, qabri ""desert, mountain, sea, tomb demon""; also ""ghost"" of dead; utukkiš ""like a demon"";",Sum. 
utulgallu I,"""chief herdsman"" jB, desig. of Ennugi;",
utullu I,"pl. f. ""chief herdsman"" O/jB, MA [Ú.TÚL; UTUL] of cows, sheep; transf., desig. of deity, king;",utullūtu I cf. utulgallu I
utullūtu I,"""post of chief herdsman"" MB, Bogh. lex.;",utullu I
utuplu I,"~ ""scarf, shawl""? O/jB [(TÚG.)Ú.TUP.LU] of wool",
utuppu I,(an ornament)? Am.,
utuptu I,"(or uṭuptum) ~ ""utensils, furnishings""? OA",
uturrā'ū I,"pl. tant. ""excess"" OA, of copper etc.;",watāru I
uturtu I,"O/jB  1. lex., math. ""excess""2. lex. (a wooden clamp, bracket)?",watāru I
utû I,"""(Sum. weaving goddess) Uttu"" jB lex.",cf. ettūtu I
utūnu I,"f. ""kiln"" Bab. [UDUN] for bricks, pottery; throw slave ana u.; MB for gold; NB rab u. ""kiln supervisor"";",cf. udunmāhu I
uwane I,mng. uncl. Alal.;,Hurr.? 
